INDEX,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOURNAMENT NAME,SEASON,WEEK NUMBER
79,T8,,Mark Anderson,1,78,0,1,,,Rocket Mortgage Classic,2021,40
80,T8,T5,Kevin Kisner,1,78,0,1,,,Rocket Mortgage Classic,2021,40
81,T8,,Sungjae Im,1,78,0,1,,,Rocket Mortgage Classic,2021,40
82,T12,,Chris Kirk,1,63,0,0,,,Rocket Mortgage Classic,2021,40
83,T12,,Jason Kokrak,1,63,0,0,,,Rocket Mortgage Classic,2021,40
84,T14,T10,Jason Day,1,51,0,0,,,Rocket Mortgage Classic,2021,40
85,T14,,Fabian Gomez,1,51,0,0,,,Rocket Mortgage Classic,2021,40
86,T14,T62,Kevin Tway,1,51,0,0,,,Rocket Mortgage Classic,2021,40
87,T14,,Pat Perez,1,51,0,0,,,Rocket Mortgage Classic,2021,40
88,T14,,Cameron Tringale,1,51,0,0,,,Rocket Mortgage Classic,2021,40
89,T14,,Keegan Bradley,1,51,0,0,,,Rocket Mortgage Classic,2021,40
90,T14,T72,Mackenzie Hughes,1,51,0,0,,,Rocket Mortgage Classic,2021,40
91,T21,,Roger Sloan,1,40,0,0,,,Rocket Mortgage Classic,2021,40
92,T21,,Joel Dahmen,1,40,0,0,,,Rocket Mortgage Classic,2021,40
93,T21,T28,Maverick McNealy,1,40,0,0,,,Rocket Mortgage Classic,2021,40
94,T24,,Richy Werenski,1,31,0,0,,,Rocket Mortgage Classic,2021,40
95,T24,,Max Homa,1,31,0,0,,,Rocket Mortgage Classic,2021,40
96,T24,T66,Lanto Griffin,1,31,0,0,,,Rocket Mortgage Classic,2021,40
97,T24,T10,Beau Hossler,1,31,0,0,,,Rocket Mortgage Classic,2021,40
98,T24,,Patton Kizzire,1,31,0,0,,,Rocket Mortgage Classic,2021,40
99,T24,T45,Tom Lewis,1,31,0,0,,,Rocket Mortgage Classic,2021,40
100,T24,,Scott Stallings,1,31,0,0,,,Rocket Mortgage Classic,2021,40
101,T31,,Rickie Fowler,1,22,0,0,,,Rocket Mortgage Classic,2021,40
102,T31,,Sean O'Hair,1,22,0,0,,,Rocket Mortgage Classic,2021,40
103,T31,T23,Patrick Reed,1,22,0,0,,,Rocket Mortgage Classic,2021,40
104,T31,,Bo Hoag,1,22,0,0,,,Rocket Mortgage Classic,2021,40
105,T31,T45,J.J. Spaun,1,22,0,0,,,Rocket Mortgage Classic,2021,40
106,T31,T51,Doug Ghim,1,22,0,0,,,Rocket Mortgage Classic,2021,40
107,T37,T18,Robert Streb,1,17,0,0,,,Rocket Mortgage Classic,2021,40
108,T37,,Brandt Snedeker,1,17,0,0,,,Rocket Mortgage Classic,2021,40
109,T37,T58,Henrik Norlander,1,17,0,0,,,Rocket Mortgage Classic,2021,40
110,T40,T51,Kyle Stanley,1,11,0,0,,,Rocket Mortgage Classic,2021,40
111,T40,,Russell Knox,1,11,0,0,,,Rocket Mortgage Classic,2021,40
112,T40,,Michael Gligic,1,11,0,0,,,Rocket Mortgage Classic,2021,40
113,T40,T51,Cameron Percy,1,11,0,0,,,Rocket Mortgage Classic,2021,40
114,T40,,Aaron Baddeley,1,11,0,0,,,Rocket Mortgage Classic,2021,40
115,T40,,Lucas Glover,1,11,0,0,,,Rocket Mortgage Classic,2021,40
116,T40,,Nelson Ledesma,1,11,0,0,,,Rocket Mortgage Classic,2021,40
117,T40,T72,Patrick Rodgers,1,11,0,0,,,Rocket Mortgage Classic,2021,40
118,T40,,Adam Schenk,1,11,0,0,,,Rocket Mortgage Classic,2021,40
119,T40,,Michael Gellerman,1,11,0,0,,,Rocket Mortgage Classic,2021,40
120,T40,,Garrick Higgo,1,11,0,0,,,Rocket Mortgage Classic,2021,40
121,T51,T51,Tyler Duncan,1,6,0,0,,,Rocket Mortgage Classic,2021,40
122,T51,,Chesson Hadley,1,6,0,0,,,Rocket Mortgage Classic,2021,40
123,T51,T34,Matt Jones,1,6,0,0,,,Rocket Mortgage Classic,2021,40
124,T51,,Nick Taylor,1,6,0,0,,,Rocket Mortgage Classic,2021,40
125,T51,,Anirban Lahiri,1,6,0,0,,,Rocket Mortgage Classic,2021,40
126,T51,,Scott Brown,1,6,0,0,,,Rocket Mortgage Classic,2021,40
127,T57,T34,Jonas Blixt,1,5,0,0,,,Rocket Mortgage Classic,2021,40
128,T57,,Josh Teater,1,5,0,0,,,Rocket Mortgage Classic,2021,40
129,T57,,Matthew NeSmith,1,5,0,0,,,Rocket Mortgage Classic,2021,40
130,T57,,Si Woo Kim,1,5,0,0,,,Rocket Mortgage Classic,2021,40
131,T57,,Chris Baker,1,5,0,0,,,Rocket Mortgage Classic,2021,40
132,T57,2,Kramer Hickok,1,5,0,0,,,Rocket Mortgage Classic,2021,40
133,T57,,Vincent Whaley,1,5,0,0,,,Rocket Mortgage Classic,2021,40
134,T57,,Matthew Wolff,1,5,0,0,,,Rocket Mortgage Classic,2021,40
135,T65,,Sebastian Munoz,1,3,0,0,,,Rocket Mortgage Classic,2021,40
136,T65,,Ryan Brehm,1,3,0,0,,,Rocket Mortgage Classic,2021,40
137,T65,,Camilo Villegas,1,3,0,0,,,Rocket Mortgage Classic,2021,40
138,T65,,Danny Willett,1,3,0,0,,,Rocket Mortgage Classic,2021,40
139,T69,,Jimmy Walker,1,3,0,0,,,Rocket Mortgage Classic,2021,40
140,T69,,Bo Van Pelt,1,3,0,0,,,Rocket Mortgage Classic,2021,40
141,T71,T58,Phil Mickelson,1,3,0,0,,,Rocket Mortgage Classic,2021,40
142,T71,,Sung Kang,1,3,0,0,,,Rocket Mortgage Classic,2021,40
143,73,,Byeong Hun An,1,2,0,0,,,Rocket Mortgage Classic,2021,40
144,1,3,Harris English,1,500,1,1,,,Travelers Championship,2021,39
145,2,,Kramer Hickok,1,300,0,1,,,Travelers Championship,2021,39
146,3,52,Marc Leishman,1,190,0,1,,,Travelers Championship,2021,39
147,4,,Abraham Ancer,1,135,0,1,,,Travelers Championship,2021,39
148,T5,T18,Brian Harman,1,93,0,1,,,Travelers Championship,2021,39
149,T5,T46,Kevin Kisner,1,93,0,1,,,Travelers Championship,2021,39
150,T5,,Brice Garnett,1,93,0,1,,,Travelers Championship,2021,39
151,T5,T4,Brooks Koepka,1,93,0,1,,,Travelers Championship,2021,39
152,T5,,Hank Lebioda,1,93,0,1,,,Travelers Championship,2021,39
153,T10,,Jason Day,1,70,0,1,,,Travelers Championship,2021,39
154,T10,,Beau Hossler,1,70,0,1,,,Travelers Championship,2021,39
155,T10,,Sepp Straka,1,70,0,1,,,Travelers Championship,2021,39
156,T13,T31,Adam Scott,1,54,0,0,,,Travelers Championship,2021,39
157,T13,,Andrew Putnam,1,54,0,0,,,Travelers Championship,2021,39
158,T13,T14,Patrick Cantlay,1,54,0,0,,,Travelers Championship,2021,39
159,T13,,Mark Hubbard,1,54,0,0,,,Travelers Championship,2021,39
160,T13,,Sam Burns,1,54,0,0,,,Travelers Championship,2021,39
161,T18,T42,Bubba Watson,1,42,0,0,,,Travelers Championship,2021,39
162,T18,,Seamus Power,1,42,0,0,,,Travelers Championship,2021,39
163,T18,T12,Russell Henley,1,42,0,0,,,Travelers Championship,2021,39
164,T18,,Robert Streb,1,42,0,0,,,Travelers Championship,2021,39
165,T18,T25,Bryson DeChambeau,1,42,0,0,,,Travelers Championship,2021,39
166,T23,,Zach Johnson,1,33,0,0,,,Travelers Championship,2021,39
167,T23,T34,Chez Reavie,1,33,0,0,,,Travelers Championship,2021,39
168,T23,T18,Dustin Johnson,1,33,0,0,,,Travelers Championship,2021,39
169,T23,,Jim Herman,1,33,0,0,,,Travelers Championship,2021,39
170,T23,T18,Patrick Reed,1,33,0,0,,,Travelers Championship,2021,39
171,T28,T48,Charley Hoffman,1,24,0,0,,,Travelers Championship,2021,39
172,T28,T48,Stewart Cink,1,24,0,0,,,Travelers Championship,2021,39
173,T28,,Brendon Todd,1,24,0,0,,,Travelers Championship,2021,39
174,T28,,Brian Stuard,1,24,0,0,,,Travelers Championship,2021,39
175,T28,,Cameron Smith,1,24,0,0,,,Travelers Championship,2021,39
176,T28,,Maverick McNealy,1,24,0,0,,,Travelers Championship,2021,39
177,T34,,Justin Rose,1,15,0,0,,,Travelers Championship,2021,39
178,T34,T34,Ian Poulter,1,15,0,0,,,Travelers Championship,2021,39
179,T34,T6,Paul Casey,1,15,0,0,,,Travelers Championship,2021,39
180,T34,T53,Matt Jones,1,15,0,0,,,Travelers Championship,2021,39
181,T34,,J.B. Holmes,1,15,0,0,,,Travelers Championship,2021,39
182,T34,,Jonas Blixt,1,15,0,0,,,Travelers Championship,2021,39
183,T34,,Kevin Chappell,1,15,0,0,,,Travelers Championship,2021,39
184,T34,T53,Troy Merritt,1,15,0,0,,,Travelers Championship,2021,39
185,T34,,Satoshi Kodaira,1,15,0,0,,,Travelers Championship,2021,39
186,T34,T29,Joaquin Niemann,1,15,0,0,,,Travelers Championship,2021,39
187,T34,,Talor Gooch,1,15,0,0,,,Travelers Championship,2021,39
188,T45,,Kevin Na,1,9,0,0,,,Travelers Championship,2021,39
189,T45,,Carlos Ortiz,1,9,0,0,,,Travelers Championship,2021,39
190,T45,,Tom Lewis,1,9,0,0,,,Travelers Championship,2021,39
191,T45,,Harold Varner III,1,9,0,0,,,Travelers Championship,2021,39
192,T45,,J.J. Spaun,1,9,0,0,,,Travelers Championship,2021,39
193,T45,T6,Scottie Scheffler,1,9,0,0,,,Travelers Championship,2021,39
194,T51,,Cameron Percy,1,6,0,0,,,Travelers Championship,2021,39
195,T51,,Ryan Moore,1,6,0,0,,,Travelers Championship,2021,39
196,T51,,Kyle Stanley,1,6,0,0,,,Travelers Championship,2021,39
197,T51,,Peter Malnati,1,6,0,0,,,Travelers Championship,2021,39
198,T51,,Sam Ryder,1,6,0,0,,,Travelers Championship,2021,39
199,T51,,Tyler Duncan,1,6,0,0,,,Travelers Championship,2021,39
200,T51,,Doug Ghim,1,6,0,0,,,Travelers Championship,2021,39
201,T58,51,Phil Mickelson,1,4,0,0,,,Travelers Championship,2021,39
202,T58,,Ryan Armour,1,4,0,0,,,Travelers Championship,2021,39
203,T58,,Henrik Norlander,1,4,0,0,,,Travelers Championship,2021,39
204,T58,,Doc Redman,1,4,0,0,,,Travelers Championship,2021,39
205,T62,,Kevin Tway,1,4,0,0,,,Travelers Championship,2021,39
206,T62,T39,Tom Hoge,1,4,0,0,,,Travelers Championship,2021,39
207,T62,,Robby Shelton,1,4,0,0,,,Travelers Championship,2021,39
208,T62,,Aaron Wise,1,4,0,0,,,Travelers Championship,2021,39
209,T66,,William McGirt,1,3,0,0,,,Travelers Championship,2021,39
210,T66,T31,Lanto Griffin,1,3,0,0,,,Travelers Championship,2021,39
211,T66,,Kris Ventura,1,3,0,0,,,Travelers Championship,2021,39
212,T69,,David Hearn,1,3,0,0,,,Travelers Championship,2021,39
213,T69,,K.H. Lee,1,3,0,0,,,Travelers Championship,2021,39
214,T69,,Denny McCarthy,1,3,0,0,,,Travelers Championship,2021,39
215,T72,,Nate Lashley,1,2,0,0,,,Travelers Championship,2021,39
216,T72,T14,Mackenzie Hughes,1,2,0,0,,,Travelers Championship,2021,39
217,T72,T29,Patrick Rodgers,1,2,0,0,,,Travelers Championship,2021,39
218,75,,Will Gordon,1,2,0,0,,,Travelers Championship,2021,39
219,1,,Jon Rahm,1,600,1,1,,,U.S. Open,2021,38
220,2,,Louis Oosthuizen,1,330,0,1,,,U.S. Open,2021,38
221,3,T12,Harris English,1,210,0,1,,,U.S. Open,2021,38
222,T4,,Brooks Koepka,1,127,0,1,,,U.S. Open,2021,38
223,T4,,Collin Morikawa,1,127,0,1,,,U.S. Open,2021,38
224,T6,,Paul Casey,1,86,0,1,,,U.S. Open,2021,38
225,T6,,Rory McIlroy,1,86,0,1,,,U.S. Open,2021,38
226,T6,,Branden Grace,1,86,0,1,,,U.S. Open,2021,38
227,T6,,Daniel Berger,1,86,0,1,,,U.S. Open,2021,38
228,T6,,Scottie Scheffler,1,86,0,1,,,U.S. Open,2021,38
229,T6,,Xander Schauffele,1,86,0,1,,,U.S. Open,2021,38
230,T12,,Francesco Molinari,1,66,0,0,,,U.S. Open,2021,38
231,T12,,Russell Henley,1,66,0,0,,,U.S. Open,2021,38
232,T14,,Kevin Streelman,1,58,0,0,,,U.S. Open,2021,38
233,T14,,Patrick Cantlay,1,58,0,0,,,U.S. Open,2021,38
234,T14,,Mackenzie Hughes,1,58,0,0,,,U.S. Open,2021,38
235,T14,,Matthew Wolff,1,58,0,0,,,U.S. Open,2021,38
236,T18,,Sergio Garcia,1,47,0,0,,,U.S. Open,2021,38
237,T18,,Charl Schwartzel,1,47,0,0,,,U.S. Open,2021,38
238,T18,,Brian Harman,1,47,0,0,,,U.S. Open,2021,38
239,T18,T8,Dustin Johnson,1,47,0,0,,,U.S. Open,2021,38
240,T18,,Justin Thomas,1,47,0,0,,,U.S. Open,2021,38
241,T18,,Jordan Spieth,1,47,0,0,,,U.S. Open,2021,38
242,T18,,Patrick Reed,1,47,0,0,,,U.S. Open,2021,38
243,T25,,Martin Kaymer,1,35,0,0,,,U.S. Open,2021,38
244,T25,,Hideki Matsuyama,1,35,0,0,,,U.S. Open,2021,38
245,T25,T53,Chris Baker,1,35,0,0,,,U.S. Open,2021,38
246,T25,,Bryson DeChambeau,1,35,0,0,,,U.S. Open,2021,38
247,T29,T43,Patrick Rodgers,1,27,0,0,,,U.S. Open,2021,38
248,T29,,Joaquin Niemann,1,27,0,0,,,U.S. Open,2021,38
249,T31,,Adam Scott,1,22,0,0,,,U.S. Open,2021,38
250,T31,,Lanto Griffin,1,22,0,0,,,U.S. Open,2021,38
251,T31,T31,Sungjae Im,1,22,0,0,,,U.S. Open,2021,38
252,T34,T21,Ian Poulter,1,15,0,0,,,U.S. Open,2021,38
253,T34,T12,Chez Reavie,1,15,0,0,,,U.S. Open,2021,38
254,T34,,Adam Hadwin,1,15,0,0,,,U.S. Open,2021,38
255,T34,,Si Woo Kim,1,15,0,0,,,U.S. Open,2021,38
256,T34,,J.T. Poston,1,15,0,0,,,U.S. Open,2021,38
257,T39,,Lee Westwood,1,11,0,0,,,U.S. Open,2021,38
258,T39,,Dylan Frittelli,1,11,0,0,,,U.S. Open,2021,38
259,T39,,Tom Hoge,1,11,0,0,,,U.S. Open,2021,38
260,T42,,Bubba Watson,1,9,0,0,,,U.S. Open,2021,38
261,T42,,Rafa Cabrera Bello,1,9,0,0,,,U.S. Open,2021,38
262,T42,T31,Tommy Fleetwood,1,9,0,0,,,U.S. Open,2021,38
263,T42,,Gary Woodland,1,9,0,0,,,U.S. Open,2021,38
264,T46,,Kevin Kisner,1,7,0,0,,,U.S. Open,2021,38
265,T46,T8,Matt Fitzpatrick,1,7,0,0,,,U.S. Open,2021,38
266,T48,,Charley Hoffman,1,6,0,0,,,U.S. Open,2021,38
267,T48,,Stewart Cink,1,6,0,0,,,U.S. Open,2021,38
268,T48,T1,Jhonattan Vegas,1,6,0,0,,,U.S. Open,2021,38
269,51,,Phil Mickelson,1,5,0,0,,,U.S. Open,2021,38
270,52,,Marc Leishman,1,5,0,0,,,U.S. Open,2021,38
271,T53,,Matt Jones,1,4,0,0,,,U.S. Open,2021,38
272,T53,,Troy Merritt,1,4,0,0,,,U.S. Open,2021,38
273,T53,,Shane Lowry,1,4,0,0,,,U.S. Open,2021,38
274,T56,,Jimmy Walker,1,3,0,0,,,U.S. Open,2021,38
275,T56,,Fabian Gomez,1,3,0,0,,,U.S. Open,2021,38
276,T1,,Bo Van Pelt,1,154,0,1,,,Palmetto Championship at Congaree,2021,37
277,T1,,Jhonattan Vegas,1,154,0,1,,,Palmetto Championship at Congaree,2021,37
278,T1,T57,Hudson Swafford,1,154,0,1,,,Palmetto Championship at Congaree,2021,37
279,T1,,Tyrrell Hatton,1,154,0,1,,,Palmetto Championship at Congaree,2021,37
280,T1,,Chesson Hadley,1,154,0,1,,,Palmetto Championship at Congaree,2021,37
281,T1,T38,Doc Redman,1,154,0,1,,,Palmetto Championship at Congaree,2021,37
282,7,,Ryan Armour,1,83,0,1,,,Palmetto Championship at Congaree,2021,37
283,T8,,Pat Perez,1,68,0,1,,,Palmetto Championship at Congaree,2021,37
284,T8,,Dustin Johnson,1,68,0,1,,,Palmetto Championship at Congaree,2021,37
285,T8,,Erik van Rooyen,1,68,0,1,,,Palmetto Championship at Congaree,2021,37
286,T8,,Matt Fitzpatrick,1,68,0,1,,,Palmetto Championship at Congaree,2021,37
287,T12,,Chez Reavie,1,53,0,0,,,Palmetto Championship at Congaree,2021,37
288,T12,,Harris English,1,53,0,0,,,Palmetto Championship at Congaree,2021,37
289,T12,,Will Gordon,1,53,0,0,,,Palmetto Championship at Congaree,2021,37
290,T15,,Scott Piercy,1,42,0,0,,,Palmetto Championship at Congaree,2021,37
291,T15,,Rob Oppenheim,1,42,0,0,,,Palmetto Championship at Congaree,2021,37
292,T15,,Seamus Power,1,42,0,0,,,Palmetto Championship at Congaree,2021,37
293,T15,,Danny Lee,1,42,0,0,,,Palmetto Championship at Congaree,2021,37
294,T15,,Satoshi Kodaira,1,42,0,0,,,Palmetto Championship at Congaree,2021,37
295,T15,,Beau Hossler,1,42,0,0,,,Palmetto Championship at Congaree,2021,37
296,T21,,Ian Poulter,1,32,0,0,,,Palmetto Championship at Congaree,2021,37
297,T21,,Bill Haas,1,32,0,0,,,Palmetto Championship at Congaree,2021,37
298,T21,,Henrik Norlander,1,32,0,0,,,Palmetto Championship at Congaree,2021,37
299,T21,,Anirban Lahiri,1,32,0,0,,,Palmetto Championship at Congaree,2021,37
300,T21,,Rhein Gibson,1,32,0,0,,,Palmetto Championship at Congaree,2021,37
301,T21,,Joseph Bramlett,1,32,0,0,,,Palmetto Championship at Congaree,2021,37
302,T27,,Luke Donald,1,24,0,0,,,Palmetto Championship at Congaree,2021,37
303,T27,T53,C.T. Pan,1,24,0,0,,,Palmetto Championship at Congaree,2021,37
304,T27,,Austin Cook,1,24,0,0,,,Palmetto Championship at Congaree,2021,37
305,T27,,Hank Lebioda,1,24,0,0,,,Palmetto Championship at Congaree,2021,37
306,T31,,Tommy Fleetwood,1,17,0,0,,,Palmetto Championship at Congaree,2021,37
307,T31,T53,Russell Knox,1,17,0,0,,,Palmetto Championship at Congaree,2021,37
308,T31,,Matthew NeSmith,1,17,0,0,,,Palmetto Championship at Congaree,2021,37
309,T31,,Chase Seiffert,1,17,0,0,,,Palmetto Championship at Congaree,2021,37
310,T31,,Sungjae Im,1,17,0,0,,,Palmetto Championship at Congaree,2021,37
311,T31,,Ben Taylor,1,17,0,0,,,Palmetto Championship at Congaree,2021,37
312,T37,,Aaron Baddeley,1,10,0,0,,,Palmetto Championship at Congaree,2021,37
313,T37,T38,Nick Taylor,1,10,0,0,,,Palmetto Championship at Congaree,2021,37
314,T37,,Scott Harrington,1,10,0,0,,,Palmetto Championship at Congaree,2021,37
315,T37,,Peter Uihlein,1,10,0,0,,,Palmetto Championship at Congaree,2021,37
316,T37,,Kevin Chappell,1,10,0,0,,,Palmetto Championship at Congaree,2021,37
317,T37,,Wes Roach,1,10,0,0,,,Palmetto Championship at Congaree,2021,37
318,T43,,J.B. Holmes,1,8,0,0,,,Palmetto Championship at Congaree,2021,37
319,T43,,Patrick Rodgers,1,8,0,0,,,Palmetto Championship at Congaree,2021,37
320,T45,T18,Vaughn Taylor,1,7,0,0,,,Palmetto Championship at Congaree,2021,37
321,T45,,Roger Sloan,1,7,0,0,,,Palmetto Championship at Congaree,2021,37
322,T45,,Byeong Hun An,1,7,0,0,,,Palmetto Championship at Congaree,2021,37
323,T45,,Sam Ryder,1,7,0,0,,,Palmetto Championship at Congaree,2021,37
324,49,,Rafael Campos,1,6,0,0,,,Palmetto Championship at Congaree,2021,37
325,T50,,Jonathan Byrd,1,5,0,0,,,Palmetto Championship at Congaree,2021,37
326,T50,T38,Mark Hubbard,1,5,0,0,,,Palmetto Championship at Congaree,2021,37
327,T50,T30,Robby Shelton,1,5,0,0,,,Palmetto Championship at Congaree,2021,37
328,T53,,Brandt Snedeker,1,5,0,0,,,Palmetto Championship at Congaree,2021,37
329,T53,,Chris Baker,1,5,0,0,,,Palmetto Championship at Congaree,2021,37
330,T53,,Tyler Duncan,1,5,0,0,,,Palmetto Championship at Congaree,2021,37
331,56,,Josh Teater,1,4,0,0,,,Palmetto Championship at Congaree,2021,37
332,T57,,Robert Garrigus,1,4,0,0,,,Palmetto Championship at Congaree,2021,37
333,T57,,Michael Gellerman,1,4,0,0,,,Palmetto Championship at Congaree,2021,37
334,59,,Richard Johnson,1,4,0,0,,,Palmetto Championship at Congaree,2021,37
335,60,,Andrew Putnam,1,4,0,0,,,Palmetto Championship at Congaree,2021,37
336,61,,Adam Schenk,1,3,0,0,,,Palmetto Championship at Congaree,2021,37
337,1,,Patrick Cantlay,1,550,1,1,,,the Memorial Tournament presented by Nationwide,2021,36
338,2,T14,Collin Morikawa,1,315,0,1,,,the Memorial Tournament presented by Nationwide,2021,36
339,3,,Scottie Scheffler,1,200,0,1,,,the Memorial Tournament presented by Nationwide,2021,36
340,4,,Branden Grace,1,140,0,1,,,the Memorial Tournament presented by Nationwide,2021,36
341,5,,Patrick Reed,1,115,0,1,,,the Memorial Tournament presented by Nationwide,2021,36
342,T6,,Jimmy Walker,1,96,0,1,,,the Memorial Tournament presented by Nationwide,2021,36
343,T6,,Shane Lowry,1,96,0,1,,,the Memorial Tournament presented by Nationwide,2021,36
